Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2021-08-28,Liverpool,Chelsea,1.0,1.0,D,85,84,1,2.0,6.0,69.0,26.0,0.5263157894736842,5.0,0.0,5.0,1.0,2.0,6.0,67.0,22.0,0.5,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,4.0,0.02631578947368418,0.0,0.0
2021-08-29,Tottenham,Watford,1.0,0.0,H,81,74,7,2.0,6.0,62.0,23.0,0.4736842105263157,2.0,0.0,2.0,1.0,2.0,3.0,-1.0,-1.0,0.0,3.0,4.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,63.0,24.0,0.4736842105263157,0.5,3.0
2021-08-29,Burnley,Leeds,1.0,1.0,D,76,76,0,2.0,0.0,39.0,-22.0,0.2631578947368421,1.0,4.0,-3.0,0.0,2.0,1.0,59.0,8.0,0.4736842105263157,3.0,7.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.0,-20.0,-30.0,-0.21052631578947362,0.0,1.0
2021-08-29,Wolves,Man United,0.0,1.0,A,78,83,-5,2.0,0.0,45.0,-16.0,0.3157894736842105,0.0,2.0,-2.0,0.0,2.0,4.0,74.0,29.0,0.5526315789473685,6.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-4.0,-29.0,-45.0,-0.23684210526315796,-0.5,-6.0
2021-09-11,Crystal Palace,Tottenham,,,,76,81,-5,3.0,2.0,44.0,-25.0,0.3157894736842105,2.0,5.0,-3.0,0.0,3.0,9.0,62.0,23.0,0.4736842105263157,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-7.0,-18.0,-48.0,-0.1578947368421052,-1.0,-6.0
2021-09-11,Watford,Wolves,,,,74,78,-4,3.0,3.0,-1.0,-1.0,0.0,3.0,5.0,-2.0,0.3333333333333333,3.0,0.0,45.0,-16.0,0.3157894736842105,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,-46.0,15.0,-0.3157894736842105,0.3333333333333333,1.0
2021-09-11,Southampton,West Ham,,,,76,79,-3,3.0,2.0,43.0,-21.0,0.3157894736842105,4.0,6.0,-2.0,0.0,3.0,7.0,65.0,15.0,0.5,10.0,5.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-5.0,-22.0,-36.0,-0.1842105263157895,-0.6666666666666666,-7.0
2021-09-11,Man United,Newcastle,,,,83,77,6,3.0,7.0,74.0,29.0,0.5526315789473685,7.0,2.0,5.0,0.6666666666666666,3.0,1.0,45.0,-16.0,0.3157894736842105,4.0,8.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,29.0,45.0,0.23684210526315796,0.6666666666666666,9.0
2021-09-11,Leicester,Man City,,,,80,85,-5,3.0,6.0,66.0,18.0,0.5263157894736842,4.0,5.0,-1.0,0.6666666666666666,3.0,6.0,86.0,51.0,0.7105263157894737,10.0,1.0,9.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-20.0,-33.0,-0.1842105263157895,0.0,-10.0
2021-09-11,Brentford,Brighton,,,,74,76,-2,3.0,5.0,-1.0,-1.0,0.0,3.0,1.0,2.0,0.3333333333333333,3.0,6.0,41.0,-6.0,0.2368421052631578,4.0,3.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.0,-42.0,5.0,-0.2368421052631578,-0.3333333333333333,1.0
2021-09-11,Arsenal,Norwich City,,,,80,73,7,3.0,0.0,61.0,16.0,0.4736842105263157,0.0,9.0,-9.0,0.0,3.0,0.0,-1.0,-1.0,0.0,1.0,10.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,62.0,17.0,0.4736842105263157,0.0,0.0
2021-09-11,Chelsea,Aston Villa,,,,84,78,6,3.0,7.0,67.0,22.0,0.5,6.0,1.0,5.0,0.6666666666666666,3.0,4.0,55.0,9.0,0.4210526315789473,5.0,4.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,12.0,13.0,0.07894736842105271,0.3333333333333333,4.0
2021-09-12,Leeds,Liverpool,,,,76,85,-9,3.0,2.0,59.0,8.0,0.4736842105263157,4.0,8.0,-4.0,0.0,3.0,7.0,69.0,26.0,0.5263157894736842,6.0,1.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-5.0,-10.0,-18.0,-0.052631578947368474,-0.6666666666666666,-9.0
2021-09-13,Everton,Burnley,,,,78,76,2,3.0,7.0,59.0,-1.0,0.4473684210526316,7.0,3.0,4.0,0.6666666666666666,3.0,1.0,39.0,-22.0,0.2631578947368421,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,20.0,21.0,0.1842105263157895,0.6666666666666666,7.0
2021-09-17,Newcastle,Leeds,,,,77,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,Wolves,Brentford,,,,78,74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,Norwich City,Watford,,,,73,74,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,Man City,Southampton,,,,85,76,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,Liverpool,Crystal Palace,,,,85,76,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,Burnley,Arsenal,,,,76,80,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,Aston Villa,Everton,,,,78,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,West Ham,Man United,,,,79,83,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,Brighton,Leicester,,,,76,80,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,Tottenham,Chelsea,,,,81,84,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Chelsea,Man City,,,,84,85,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Watford,Newcastle,,,,74,77,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Man United,Aston Villa,,,,83,78,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Leicester,Burnley,,,,80,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Leeds,West Ham,,,,76,79,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Everton,Norwich City,,,,78,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Brentford,Liverpool,,,,74,85,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,Southampton,Wolves,,,,76,78,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,Arsenal,Tottenham,,,,80,81,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-27,Crystal Palace,Brighton,,,,76,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,Man United,Everton,,,,83,78,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,Wolves,Newcastle,,,,78,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,Leeds,Watford,,,,76,74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
