Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2021-12-26,Wolves,Watford,,,,78,74,4
2021-12-26,West Ham,Southampton,,,,79,76,3
2021-12-26,Tottenham,Crystal Palace,,,,81,76,5
2021-12-26,Norwich City,Arsenal,,,,73,80,-7
2021-12-26,Newcastle,Man United,,,,77,83,-6
2021-12-26,Man City,Leicester,,,,85,80,5
2021-12-26,Liverpool,Leeds,,,,85,76,9
2021-12-26,Burnley,Everton,,,,76,78,-2
2021-12-26,Brighton,Brentford,,,,76,74,2
2021-12-26,Aston Villa,Chelsea,,,,78,84,-6
2021-12-28,Crystal Palace,Norwich City,,,,76,73,3
2021-12-28,Watford,West Ham,,,,74,79,-5
2021-12-28,Chelsea,Brighton,,,,84,76,8
2021-12-28,Brentford,Man City,,,,74,85,-11
2021-12-28,Arsenal,Wolves,,,,80,78,2
2021-12-28,Southampton,Tottenham,,,,76,81,-5
2021-12-28,Man United,Burnley,,,,83,76,7
2021-12-28,Leicester,Liverpool,,,,80,85,-5
2021-12-28,Leeds,Aston Villa,,,,76,78,-2
2021-12-28,Everton,Newcastle,,,,78,77,1
2022-01-01,Watford,Tottenham,,,,74,81,-7
2022-01-01,Southampton,Newcastle,,,,76,77,-1
2022-01-01,Man United,Wolves,,,,83,78,5
2022-01-01,Leicester,Norwich City,,,,80,73,7
2022-01-01,Leeds,Burnley,,,,76,76,0
2022-01-01,Everton,Brighton,,,,78,76,2
2022-01-01,Crystal Palace,West Ham,,,,76,79,-3
2022-01-01,Chelsea,Liverpool,,,,84,85,-1
2022-01-01,Brentford,Aston Villa,,,,74,78,-4
2022-01-01,Arsenal,Man City,,,,80,85,-5
2022-01-15,Wolves,Southampton,,,,78,76,2
2022-01-15,West Ham,Leeds,,,,79,76,3
2022-01-15,Tottenham,Arsenal,,,,81,80,1
2022-01-15,Norwich City,Everton,,,,73,78,-5
2022-01-15,Newcastle,Watford,,,,77,74,3
2022-01-15,Man City,Chelsea,,,,85,84,1
2022-01-15,Liverpool,Brentford,,,,85,74,11
2022-01-15,Burnley,Leicester,,,,76,80,-4
2022-01-15,Brighton,Crystal Palace,,,,76,76,0
2022-01-15,Aston Villa,Man United,,,,78,83,-5
2022-01-22,Watford,Norwich City,,,,74,73,1
2022-01-22,Southampton,Man City,,,,76,85,-9
2022-01-22,Man United,West Ham,,,,83,79,4
2022-01-22,Leicester,Brighton,,,,80,76,4
2022-01-22,Leeds,Newcastle,,,,76,77,-1
2022-01-22,Everton,Aston Villa,,,,78,78,0
2022-01-22,Crystal Palace,Liverpool,,,,76,85,-9
2022-01-22,Chelsea,Tottenham,,,,84,81,3
2022-01-22,Brentford,Wolves,,,,74,78,-4
2022-01-22,Arsenal,Burnley,,,,80,76,4
2022-02-08,Wolves,Arsenal,,,,78,80,-2
2022-02-08,West Ham,Watford,,,,79,74,5
2022-02-08,Norwich City,Crystal Palace,,,,73,76,-3
2022-02-08,Burnley,Man United,,,,76,83,-7
2022-02-08,Brighton,Chelsea,,,,76,84,-8
2022-02-08,Aston Villa,Leeds,,,,78,76,2
2022-02-09,Tottenham,Southampton,,,,81,76,5
2022-02-09,Newcastle,Everton,,,,77,78,-1
2022-02-09,Man City,Brentford,,,,85,74,11
2022-02-09,Liverpool,Leicester,,,,85,80,5
2022-02-12,Watford,Brighton,,,,74,76,-2
2022-02-12,Tottenham,Wolves,,,,81,78,3
2022-02-12,Norwich City,Man City,,,,73,85,-12
2022-02-12,Newcastle,Aston Villa,,,,77,78,-1
2022-02-12,Man United,Southampton,,,,83,76,7
2022-02-12,Leicester,West Ham,,,,80,79,1
2022-02-12,Everton,Leeds,,,,78,76,2
2022-02-12,Chelsea,Arsenal,,,,84,80,4
2022-02-12,Burnley,Liverpool,,,,76,85,-9
2022-02-12,Brentford,Crystal Palace,,,,74,76,-2
2022-02-19,Wolves,Leicester,,,,78,80,-2
2022-02-19,West Ham,Newcastle,,,,79,77,2
2022-02-19,Southampton,Everton,,,,76,78,-2
2022-02-19,Man City,Tottenham,,,,85,81,4
